aer_ai_mean,aer_ai_valid_frac,co_mean,co_valid_frac,no2_mean,no2_valid_frac,period_start,city,precip_mm
-0.5687959351491435,1,0.0384026303685847,0.8235294117647058,6.39233469189275e-05,1.0,2019-01-01,Karachi,0.008013365297349776
-0.6324603184567715,1,0.0373395645077979,0.9896193771626296,5.830851561397881e-05,1.0,2019-01-08,Karachi,0.27918816794835105
-0.8354493147749372,1,0.0368236549966516,0.9965397923875432,8.085871099870517e-05,1.0,2019-01-15,Karachi,11.093691514491304
-0.69138477168632,1,0.0361000859361276,0.7889273356401384,7.378590296377354e-05,1.0,2019-01-22,Karachi,1.1452987970862996
-0.8259519397979124,1,0.0361269415067787,0.9411764705882352,6.480996262999898e-05,1.0,2019-01-29,Karachi,2.983318930298677
-0.0275322744860411,1,0.0344754418802644,0.9065743944636678,5.9983830538890495e-05,1.0,2019-02-05,Karachi,0.03375721514888385
-0.7174050812671542,1,0.0371153046132411,0.8546712802768166,5.671673329109699e-05,1.0,2019-02-12,Karachi,1.2731948965779545
-0.6951660164842776,1,0.0336656290607005,0.9688581314878892,5.983766226147071e-05,1.0,2019-02-19,Karachi,2.123142578870216
-0.6569215857144352,1,0.0359183741705732,0.9965397923875432,5.598028101111642e-05,1.0,2019-02-26,Karachi,4.808546281787168
-0.7201620457616812,1,0.0352646658825753,0.9965397923875432,4.033859764699003e-05,1.0,2019-03-05,Karachi,1.5628908399743204
-0.5358723802791431,1,0.0350871487067836,0.9619377162629758,5.029876601500662e-05,1.0,2019-03-12,Karachi,0.11583321057522804
-0.2648168323609663,1,0.0334743141271752,1.0,4.116222744720734e-05,1.0,2019-03-19,Karachi,0.014198337264908134
-0.3608057898282444,1,0.0333214409068862,0.9965397923875432,4.8366865579146035e-05,1.0,2019-03-26,Karachi,0.0059904829754486855
-0.240786185400332,1,0.0331460832704076,1.0,4.0048694069197366e-05,1.0,2019-04-02,Karachi,0.37694085419828005
